domain,amount,history,hospital_network,damage_cost,policy_duration,income,loan_amount,fraud
Financial,78618,3,1,93627,1.09,27801,307425,1
Financial,259706,1,0,43490,2.04,27153,448950,1
Health,217138,2,1,20232,5.58,32224,475801,0
Health,90402,3,0,23551,4.34,50845,280032,0
Life,489597,3,0,45025,0.48,50510,435230,1
Vehicle,267988,2,1,66757,1.39,49769,356207,1
Life,179782,0,0,80963,0.49,29240,378177,1
Financial,132195,1,1,56712,7.34,37583,491983,1
Life,404813,2,1,2628,8.01,48209,260370,0
Vehicle,378627,5,1,24570,1.6,89492,184776,1
Financial,18282,5,1,20039,0.08,88862,146193,0
Life,289932,5,0,44298,3.5,30226,373402,0
Life,413651,2,1,96749,8.82,56873,461128,0
Financial,195150,1,1,23013,2.87,98314,99361,0
Financial,490994,1,0,773,4.42,85870,229054,0
Vehicle,25452,4,0,3373,1.55,45715,446908,1
Financial,84405,2,1,13776,5.54,95131,420603,0
Life,298033,5,1,59137,3.12,48420,52874,0
Financial,171289,0,1,53564,4.19,99029,447912,0
Health,77980,5,0,2708,9.69,94140,499607,0
Health,382532,2,0,61991,8.69,38867,399619,1
Life,109924,0,1,55366,3.1,21575,402956,0
Financial,175033,2,0,51776,1.12,52723,101776,0
Vehicle,395394,5,1,69966,0.66,30868,216661,1
Health,161512,5,0,64427,8.84,95147,77163,1
Vehicle,51098,3,0,85100,8.28,76567,368502,1
Financial,110524,2,1,88492,4.63,87471,300930,0
Health,19478,4,1,64110,0.26,72294,341698,0
Financial,110368,3,0,48573,7.73,91224,226192,0
Vehicle,247750,3,0,29447,8.43,93462,450025,0
Vehicle,402896,4,0,38806,1.83,66119,167986,1
Vehicle,263390,1,1,87137,7.09,37644,122081,1
Vehicle,316777,2,1,80267,2.82,52631,467844,1
Life,289237,5,1,51498,5.08,57355,64535,0
Vehicle,334517,2,1,73887,3.5,79877,178131,1
Life,186534,4,0,10155,4.98,94162,97397,0
Health,219721,3,0,13036,7.02,65314,460815,1
Financial,195833,0,1,94701,6.52,96020,284386,0
Vehicle,389361,2,0,40090,2.87,66156,347619,0
Health,169368,0,0,79184,6.15,60321,117500,1
Financial,354841,0,1,76562,4.21,38930,331142,1
Health,194223,5,0,19730,7.34,81448,139594,1
Vehicle,108021,2,0,18876,6.21,32919,402066,0
Life,301256,3,0,86790,4.82,59928,101258,0
Financial,119621,4,1,58192,6.95,49834,449323,1
Vehicle,233671,2,0,88291,8.0,39151,485651,1
Vehicle,381603,1,1,1217,1.52,59257,217517,0
Vehicle,407291,0,0,77049,5.25,58712,381304,1
Life,304233,3,0,85080,2.66,97900,161371,0
Vehicle,439288,5,1,14369,0.99,69603,239064,1
Life,344728,0,0,54111,6.88,62682,225739,0
Financial,118396,0,1,63669,7.68,82780,116010,0
Vehicle,257836,5,0,86202,4.31,57351,447857,1
Health,141040,0,0,70866,9.42,93001,360053,1
Vehicle,343896,4,0,37253,4.74,84063,168741,1
Life,20798,5,1,81274,5.97,27860,453320,0
Vehicle,309789,4,1,55127,8.97,73557,118051,1
Life,91915,2,0,22259,7.96,72343,71133,0
Life,90682,2,0,32578,5.76,44099,333339,0
Vehicle,214482,5,0,49666,2.56,92800,325664,1
Health,332737,3,0,76900,8.21,69557,50607,1
Financial,140308,4,0,29999,2.63,31192,468891,1
Life,401405,4,1,31266,3.69,44959,230139,0
Health,221124,1,0,5629,3.47,40045,82453,1
Vehicle,388881,2,1,78725,2.61,74804,445352,1
Health,52818,3,0,45997,3.23,93497,124311,0
Life,173542,2,0,68309,2.87,52574,410775,0
Health,143551,2,1,76369,4.48,47871,402386,0
Financial,289206,4,1,92002,6.21,96764,319182,0
Health,388041,5,1,43214,6.96,80562,66697,0
Vehicle,150194,0,1,89036,3.06,44469,261087,1
Financial,447869,3,1,7776,9.61,70318,262195,0
Vehicle,283740,2,1,51306,8.12,75832,455038,1
Vehicle,460054,4,1,66319,3.51,94489,420296,1
Financial,184906,4,1,12736,8.09,42203,71188,0
Health,268423,1,1,50776,4.56,87894,96857,0
Health,104860,5,1,54592,2.27,78030,350871,0
Health,342776,2,0,46097,4.58,80291,87370,1
Life,354247,4,1,38538,1.84,47225,185031,0
Health,414311,3,0,33935,6.19,79044,228794,1
Vehicle,116992,1,1,22836,4.23,91558,102298,0
Life,227999,2,0,61981,2.47,43011,183771,0
Health,422408,0,1,18190,6.38,26417,180720,0
Health,255064,4,0,38866,6.23,64834,63114,1
Health,171069,3,1,80860,0.02,40311,167472,0
Vehicle,425855,3,0,78037,2.67,62983,495637,1
Vehicle,298230,3,0,59208,7.46,22184,247981,1
Life,235132,3,1,67637,0.14,52190,306672,1
Health,451546,4,0,5789,4.74,97636,276754,1
Financial,114279,2,1,35187,5.57,53998,425245,1
Life,77344,0,0,29573,0.58,58046,230083,1
Financial,133284,4,0,87160,5.9,53664,419134,1
Life,24014,3,0,81429,1.09,29699,56486,0
Vehicle,251452,1,1,26799,3.27,63548,101577,0
Vehicle,58260,1,1,80653,9.43,26240,225282,1
Financial,439831,4,1,6350,1.39,36952,323391,1
Health,285839,5,0,18237,3.1,93361,86874,1
Life,347703,4,0,13732,7.56,29134,297430,0
Life,189770,4,1,82737,7.14,88045,374086,0
Financial,363815,5,1,54804,4.67,76948,272803,0
Health,477726,3,0,60493,3.05,50258,483987,1
Vehicle,138303,3,1,69352,9.06,22388,252814,1
Vehicle,132963,5,1,34757,2.83,34348,371222,1
Vehicle,438865,3,1,38143,4.6,48092,258880,0
Financial,65137,3,1,42056,1.83,76164,492559,1
Vehicle,7089,1,1,66685,3.83,64610,53820,1
Health,453410,3,0,76260,5.05,40500,117019,1
Financial,213189,5,0,59756,3.5,29047,110547,0
Financial,180041,0,0,2934,4.01,69066,125151,0
Vehicle,430030,1,1,85621,0.75,58434,471215,1
Vehicle,232473,3,1,6876,1.28,85980,415037,0
Financial,388212,4,1,25027,4.33,86931,122801,0
Health,495407,2,0,46391,8.93,64153,423883,1
Life,240244,2,0,88226,8.51,47286,277348,0
Health,182120,2,1,84618,0.65,20534,153948,0
Financial,431000,2,1,72189,5.28,67586,444624,1
Financial,230037,1,0,80758,5.46,87175,309949,0
Health,15047,2,0,84744,2.07,62462,283491,0
Financial,143761,0,1,24945,2.92,21105,152394,1
Health,250997,4,0,69454,8.81,27656,374211,1
Life,72396,4,1,8781,4.53,71391,296307,0
Financial,420242,1,0,22188,3.7,43608,295339,1
Life,146588,3,1,51474,6.8,38807,499918,0
Financial,405170,4,1,4550,0.67,44853,251781,1
Vehicle,96966,5,1,75452,9.13,21845,432798,1
Financial,184729,1,0,99844,0.19,21652,205695,1
Life,243167,4,0,77431,0.16,56171,262391,1
Financial,498207,4,0,33743,3.55,22043,121270,1
Health,374033,1,1,62846,5.38,70175,241172,0
Financial,212557,1,1,29084,8.91,46251,80645,0
Life,192383,2,0,73148,5.11,63714,310403,0
Health,401360,0,1,76348,1.92,75735,97617,0
Life,58189,5,0,87186,3.28,84616,302631,0
Vehicle,38604,2,0,68055,4.85,27481,459387,1
Health,452584,1,0,78808,2.91,64645,258692,1
Vehicle,441636,5,0,19381,0.15,93691,341045,1
Life,172926,5,0,15935,1.31,51478,479839,0
Financial,440624,3,0,77015,9.63,22494,123818,1
Health,252734,4,1,73001,6.76,84575,317983,0
Vehicle,158022,5,0,17445,9.93,99345,305451,1
Life,488203,0,0,17764,6.39,47780,137299,0
Financial,252512,0,0,23781,0.1,54070,340425,1
Financial,204741,2,1,97465,5.44,50015,217701,0
Financial,97158,4,1,70141,7.72,88943,425375,0
Life,132675,0,0,91276,7.56,64844,309247,0
Vehicle,178894,5,0,12435,0.9,41586,492637,1
Vehicle,87011,4,0,92332,3.19,49377,318549,1
Financial,232629,0,1,83146,6.57,96488,298767,0
Life,291279,2,0,60139,2.38,68226,418680,0
Health,8716,0,1,35635,1.71,88774,317968,0
Vehicle,357373,5,0,56955,3.38,57414,248220,1
Life,32329,1,0,40567,3.91,31552,470332,0
Life,497742,1,1,83768,8.19,26103,198825,0
Health,14596,5,1,98078,1.34,90879,424171,0
Financial,74026,0,0,83272,2.62,50070,385057,1
Life,417681,3,0,63156,9.11,29187,304150,0
Financial,439207,3,0,97030,1.76,76379,329142,0
Health,60601,3,0,33499,8.31,89562,62827,0
Financial,378186,3,0,11644,3.34,91427,356496,0
Vehicle,17956,2,0,60893,5.18,59374,466223,1
Health,181779,3,0,57674,3.76,87020,455461,1
Life,473672,0,0,11812,6.91,53917,377359,0
Financial,492643,2,0,86676,0.35,56454,317804,1
Financial,303566,4,0,19055,2.84,26434,260640,1
Life,41578,4,1,87107,8.37,42739,123927,0
Vehicle,333280,3,0,29377,0.53,25196,126024,0
Vehicle,85794,1,0,85134,3.18,74424,193843,1
Life,34147,4,0,46088,9.22,34240,298998,0
Health,490256,1,0,3855,3.66,33733,280353,1
Vehicle,411406,4,0,82819,7.13,24519,153042,1
Vehicle,431352,3,0,14664,5.76,23552,494506,0
Vehicle,127884,4,1,26110,3.32,86020,393442,1
Life,88124,2,0,80092,1.26,47014,361501,0
Health,141140,5,1,89713,9.24,50637,386775,0
Health,315608,5,0,96953,2.77,43355,215866,1
Financial,165060,3,0,12053,4.4,27407,121825,0
Financial,27461,3,0,92335,1.73,80952,394688,0
Vehicle,11370,0,1,61253,1.97,51214,487658,1
Life,207951,1,0,58107,3.36,42741,230663,0
Financial,431272,1,1,90992,7.72,42318,412964,1
Life,268241,0,0,72447,1.03,62221,390251,0
Financial,480886,0,0,79424,3.88,64287,125965,0
Financial,459355,1,1,32225,7.87,92181,388879,0
Financial,45862,0,1,88997,1.92,48134,80649,0
Vehicle,167457,5,1,1817,4.21,39657,115014,1
Vehicle,328018,0,1,43289,0.68,99648,160518,0
Health,424635,5,1,35393,7.23,25192,339566,0
Health,294939,4,1,7719,0.61,88233,346602,0
Vehicle,439198,1,0,85044,4.78,27960,93226,1
Life,26681,3,1,27143,3.18,61906,463508,0
Health,435235,5,1,18127,4.03,46939,173657,0
Financial,353151,0,0,26643,2.45,45189,202405,0
Financial,358238,5,0,75816,0.2,40949,185174,0
Life,322109,4,0,5092,5.53,73162,397764,0
Life,241984,3,1,68140,4.13,53745,415019,0
Health,243323,5,0,5483,5.93,92794,351725,1
Life,200800,3,0,42564,0.1,38936,418122,1
Life,102799,3,1,71715,1.32,30549,127152,0
Financial,437703,2,0,62757,9.81,24410,296999,1
Life,260740,4,0,95602,8.53,94071,248712,0
Vehicle,137040,2,0,62980,0.47,58774,492731,1
Vehicle,242150,1,1,38608,7.34,41650,300496,0
Health,196668,5,1,90992,4.31,72547,312758,0
Life,128781,3,0,79275,5.32,90696,487602,0
Vehicle,189398,0,0,27075,7.9,98043,179036,0
Financial,64530,5,1,5591,2.72,95988,362642,0
Vehicle,345896,4,1,69072,0.85,91821,302301,1
Life,215215,0,1,47313,8.02,79103,350278,0
Financial,362610,4,1,46565,1.43,90069,344438,0
Life,132616,2,0,70244,9.28,93699,191846,0
Health,265684,5,0,42587,8.86,86812,487599,1
Health,183667,4,1,5716,9.24,34465,101518,0
Financial,66077,2,1,70569,1.65,36504,395910,1
Vehicle,109051,0,1,81032,9.2,84314,296344,1
Financial,190763,5,0,55724,6.36,48123,489297,1
Financial,335896,0,0,34254,1.23,56106,330658,1
Vehicle,163562,5,0,69852,4.35,79538,91381,1
Vehicle,117691,3,1,92953,0.45,47895,60349,1
Life,286779,3,0,28619,8.14,54402,377280,0
Vehicle,353265,5,1,73901,6.1,66077,139033,1
Financial,286955,4,1,90527,6.85,34227,449348,1
Life,440236,0,1,40,7.25,57952,450886,0
Financial,474974,3,1,82229,1.41,80147,412738,1
Financial,493029,2,1,45726,9.21,23561,446415,1
Health,235994,1,0,61346,5.81,83155,364013,1
Health,241750,2,1,98662,2.03,83056,181723,0
Financial,499522,4,1,71153,3.26,66581,155113,0
Health,73726,4,1,31637,3.91,44862,200178,0
Vehicle,442728,3,0,454,7.38,53367,64572,0
Vehicle,33249,3,1,62396,0.5,65392,487881,1
Life,122665,1,1,76683,2.55,28992,185154,0
Health,206920,5,0,12595,9.02,49365,68676,1
Vehicle,80285,5,0,893,9.77,68464,103820,1
Health,428264,4,0,70213,5.75,69937,291484,1
Health,351132,0,0,85624,3.39,75833,219178,1
Life,397235,4,1,53840,7.48,25050,62449,0
Health,431580,1,0,98161,9.54,88206,436092,1
Health,162765,2,1,7247,1.1,37962,62625,0
Life,481215,4,0,18915,8.64,23098,355821,0
Health,92853,4,0,99027,9.0,66748,209809,0
Financial,464703,3,1,41329,4.73,93644,55662,0
Financial,68557,0,0,19690,3.2,20182,460283,1
Health,417876,5,1,56172,9.38,46853,421561,0
Life,396840,1,1,73985,4.85,35764,282019,0
Life,479034,5,0,16273,10.0,23598,481222,0
Health,425666,0,0,53955,3.17,55118,450444,1
Vehicle,227431,3,1,71,7.0,77427,383595,0
Life,489485,2,1,76198,6.38,52599,372536,0
Health,134725,1,0,40739,2.32,77709,251787,1
Health,14542,0,1,6398,8.13,73912,493217,0
Health,477034,0,1,50507,1.88,63096,192772,0
Health,211660,3,1,81535,5.66,45753,345737,0
Health,200236,4,1,5499,2.17,50063,160091,0
Life,413137,4,0,3114,6.69,66545,204883,0
Vehicle,224179,0,0,16455,0.86,45746,357141,0
Life,22542,1,0,37791,5.81,89581,291649,0
Financial,402838,4,1,84075,1.61,40356,352360,1
Vehicle,281668,2,0,26098,9.09,76698,342599,0
Health,228659,0,1,14134,8.71,86213,203184,0
Financial,361005,5,1,32178,0.53,70904,83666,0
Vehicle,284829,2,0,1903,4.21,87737,357301,0
Financial,435476,4,0,2466,2.32,86109,242427,0
Life,79115,0,0,2669,3.16,21807,288568,0
Financial,424507,4,1,61497,3.99,59917,330235,1
Vehicle,60321,1,1,98309,2.8,96086,326601,1
Vehicle,349382,0,0,44075,5.56,24497,169685,0
Health,13626,3,1,96661,0.26,52203,236860,0
Health,92826,4,0,21021,5.17,36715,382299,0
Life,400516,4,0,31361,3.27,60521,170524,0
Health,257370,3,0,37989,3.81,31435,421053,1
Health,14575,3,1,66154,7.94,31358,132810,0
Life,189757,3,1,69391,1.48,61372,120361,0
Health,125368,0,0,19918,7.33,98967,88120,1
Financial,474057,4,0,91665,1.25,49790,252809,1
Financial,71299,5,1,6837,1.61,45454,434636,1
Financial,147005,3,1,44967,6.51,25413,240845,1
Financial,451053,0,1,14442,7.49,28347,282283,1
Vehicle,315758,3,1,81894,8.39,48432,364919,1
Vehicle,181259,0,1,15170,0.11,78601,299764,0
Health,75990,3,1,78444,0.98,21118,183467,0
Financial,304368,1,0,70710,6.69,96935,207978,0
Vehicle,187137,0,0,73169,0.57,80098,159078,1
Life,181312,3,1,23845,3.22,55915,344067,0
Vehicle,115891,0,1,40821,9.55,57560,420499,0
Life,370451,1,0,4836,2.1,76401,137325,0
Financial,54311,1,0,7205,6.22,51352,286125,1
Health,223113,2,0,43375,1.27,67054,59242,1
Vehicle,143417,1,1,75057,5.19,88350,477042,1
Life,121087,5,0,51850,7.47,74548,240305,0
Health,341556,5,0,21330,8.73,73113,167802,1
Financial,252416,4,0,8683,3.27,97727,128275,0
Health,144556,0,0,3549,5.2,38320,136829,1
Financial,125137,3,1,11125,4.52,95426,316228,0
Financial,482244,3,0,75829,8.65,43386,391147,1
Life,31540,5,0,84936,3.74,43712,269387,0
Health,211566,0,0,64264,9.79,86220,424562,1
Vehicle,317807,1,1,67653,8.02,51109,450182,1
Vehicle,88143,5,0,96865,3.05,29044,403346,1
Financial,159315,5,1,94826,0.56,46830,448435,1
Life,289359,2,1,65012,4.68,71610,307638,0
Life,106303,1,1,58974,9.34,38341,99951,0
Health,359383,1,0,12926,6.56,25129,135861,1
Vehicle,64647,1,1,21834,1.88,75388,52834,0
Vehicle,213603,0,1,10090,2.72,44693,216591,0
Health,63945,4,0,29886,7.24,31105,152707,0
Health,164437,3,0,19882,9.38,83113,120685,1
Vehicle,165906,3,0,67283,8.85,83217,381708,1
Health,442106,0,1,48496,2.99,37668,131191,0
Vehicle,478129,2,1,60487,4.99,96728,337225,1
Vehicle,265295,1,0,83518,1.66,76298,390154,1
Life,150280,4,1,60099,4.62,98938,246565,0
Financial,145959,1,1,67438,5.03,54982,423807,1
Financial,375001,5,1,53770,6.42,43279,357957,1
Financial,155631,1,0,76146,0.63,96858,310976,0
Life,351182,5,0,39568,7.91,60992,312021,0
Health,16216,5,0,32831,9.17,22356,286878,0
Health,419997,5,1,69344,6.05,80533,64708,0
Health,55632,2,1,90124,1.4,24273,351192,0
Health,259489,0,0,5685,4.93,77257,386690,1
Financial,489563,5,0,81402,0.39,26165,185700,1
Life,151113,1,1,37846,6.76,71295,349228,0
Life,39743,0,1,17342,5.31,76442,73477,0
Financial,283901,4,1,47334,7.58,31566,52489,0
Financial,356519,0,0,6088,7.57,37333,469717,1
Health,24126,2,0,9654,8.07,79582,138032,0
Life,100984,4,0,65058,5.76,36898,286817,0
Vehicle,374201,2,0,89134,3.75,58639,240895,1
Life,153080,4,0,86920,6.79,98506,478231,0
Life,204566,1,1,73662,9.5,43478,267444,0
Health,133665,3,1,68995,0.34,81752,218285,0
Financial,401442,2,1,50686,8.75,55333,261089,0
Financial,316320,4,1,29439,6.23,93208,312491,0
Health,460560,4,1,51554,3.59,78113,217190,0
Life,282629,4,1,62254,5.52,21856,191511,0
Vehicle,389206,1,0,53130,4.67,65363,209119,1
Vehicle,260048,1,1,43001,1.53,89460,342541,0
Financial,470279,4,1,41503,4.89,71339,172844,0
Vehicle,232367,2,1,99326,8.83,37599,112267,1
Financial,205729,3,1,94404,7.64,49742,70000,0
Health,250043,5,0,87794,1.24,50572,466411,1
Health,118163,5,0,72005,1.73,72742,298905,1
Financial,295792,2,1,3909,6.92,24430,399463,1
Financial,50137,4,1,28405,1.2,46064,231828,1
Vehicle,480882,1,0,78502,0.72,28880,419266,1
Life,399435,3,1,27558,9.71,86617,243243,0
Health,419542,3,1,78443,9.97,64355,125299,0
Financial,462864,2,1,35687,8.04,46745,224169,0
Vehicle,70945,1,0,97736,8.84,32329,90295,1
Vehicle,87847,3,0,55964,6.36,39857,188347,1
Life,191042,5,0,45307,8.98,85736,95449,0
Health,268366,1,0,89247,8.59,51000,357126,1
Life,391971,5,0,60201,1.47,28365,397105,0
Vehicle,58665,2,0,45164,8.78,48701,52963,0
Financial,360732,4,0,69599,4.35,60668,476462,1
Vehicle,348918,5,0,77179,4.87,64297,416937,1
Life,428311,5,1,18783,7.55,71471,95383,0
Health,96138,1,1,90758,7.34,85668,456209,0
Financial,9649,0,1,23507,6.27,31101,335193,1
Life,204878,3,0,5177,2.04,51737,414573,0
Life,312588,4,1,21151,3.34,79208,383331,0
Financial,128231,5,1,61548,4.55,51262,413814,1
Life,432314,4,0,58175,8.78,26355,244301,0
Health,298606,3,1,2313,5.77,91128,379228,0
Life,382362,3,0,50636,6.84,71624,388281,0
Financial,190894,3,1,11891,0.77,38944,184509,0
Life,67106,0,0,31233,6.75,73038,78904,0
Life,394782,4,1,97344,9.35,43663,210104,0
Vehicle,339187,5,0,72919,1.92,41720,180743,1
Financial,101221,3,0,95805,4.86,35708,327519,1
Health,356082,0,1,21347,0.12,43617,438242,0
Life,75916,1,1,26811,7.94,41953,349039,0
Health,291407,0,0,42247,9.2,30741,188828,1
Financial,352346,5,0,55669,1.08,29287,464651,1
Health,449679,2,1,89245,9.09,38180,403492,0
Vehicle,94077,5,0,97436,2.92,67755,413724,1
Financial,239528,3,0,16499,2.37,71525,123887,0
Life,149604,5,1,40007,3.58,51337,292739,0
Financial,292216,1,1,42159,3.59,48974,192591,0
Vehicle,479577,3,0,25945,1.11,53232,380202,0
Vehicle,145326,2,1,20808,0.47,40785,302812,0
Life,371761,4,1,41741,4.51,49494,296497,0
Life,378047,0,0,8046,9.11,65478,184010,0
Life,278106,1,0,81153,1.0,55901,492114,0
Financial,435949,1,0,28056,7.72,81746,364588,0
Health,230697,3,1,6766,5.57,87445,364587,0
Vehicle,68454,2,1,75193,0.71,74999,127114,1
Financial,449876,5,0,50668,4.95,48838,399337,1
Life,63958,4,1,50168,3.64,54837,165577,0
Vehicle,411430,3,1,10314,3.96,65810,343236,0
Vehicle,109532,1,0,2343,8.08,52114,392080,0
Health,276794,0,0,92424,9.86,20196,491367,1
Financial,499831,5,0,48023,9.9,75752,356675,0
Life,124103,3,0,15939,0.68,96053,427830,1
Vehicle,122689,3,0,75120,5.41,22500,52372,1
Financial,42108,3,0,90983,0.55,83799,481029,1
Vehicle,284758,3,0,21910,6.96,98120,62015,0
Health,469630,2,0,44514,6.11,29938,447298,1
Life,234476,5,1,44943,7.58,36637,56239,0
Health,300990,0,0,75706,4.55,56871,203547,1
Life,232117,1,1,74512,4.72,64276,437036,0
Financial,153822,5,1,18500,2.66,46173,401785,1
Financial,282998,3,1,24815,8.46,45468,368107,1
Life,105319,1,0,70098,6.14,22914,288384,0
Financial,87998,0,1,50609,4.94,20453,216101,1
Financial,336421,0,1,1017,5.47,35528,114489,0
Vehicle,391019,3,1,9206,2.52,84482,128346,0
Financial,480288,1,1,19703,1.35,98008,117392,0
Financial,358342,5,1,21784,0.71,74366,245276,0
Vehicle,174036,5,1,61049,9.86,96352,474008,1
Vehicle,201914,5,1,91485,1.87,94307,427705,1
Financial,480545,5,1,29280,4.33,64494,234960,0
Vehicle,26631,3,0,56843,0.89,49067,115098,1
Life,469190,2,1,97330,4.45,56173,166759,0
Vehicle,430909,2,0,99661,7.17,45688,152232,1
Financial,182412,1,1,10902,8.21,83319,385272,0
Life,245366,4,1,93198,5.4,48200,259041,0
Life,223359,4,1,98420,1.94,72207,303086,0
Health,325188,2,0,22757,9.43,33993,77837,1
Life,453996,2,1,90160,4.07,61631,176809,0
Financial,210018,4,0,81222,6.8,90092,359752,0
Vehicle,108380,1,0,50696,2.33,97875,77310,1
Vehicle,470456,5,0,84850,4.39,62237,214202,1
Vehicle,151219,1,0,55134,3.48,79963,105260,1
Financial,412818,2,1,15638,3.09,95951,431294,0
Vehicle,149714,3,0,82577,7.04,85395,96570,1
Life,60144,0,0,33506,3.65,87953,421105,0
Health,472375,5,1,3810,9.03,98191,251796,0
Vehicle,414820,3,0,92531,3.07,87902,459095,1
Health,195788,3,0,66361,9.11,95493,78391,1
Vehicle,241384,3,1,42644,4.42,74003,229416,0
Health,258942,1,1,15057,6.74,74319,486063,0
Health,486196,4,0,70420,7.43,35184,292061,1
Health,72764,1,1,2206,0.13,90199,100993,0
Financial,62188,5,1,45365,2.71,40623,327898,1
Health,384004,5,0,27918,5.77,60639,304503,1
Financial,12441,3,1,57310,9.89,97317,358300,0
Health,323725,2,0,64386,2.9,96687,102862,1
Financial,393550,2,0,86782,2.5,34102,185160,1
Health,8928,3,0,31196,2.69,44945,364160,0
Vehicle,372208,2,0,6834,1.7,60668,198940,0
Vehicle,273919,0,1,82466,5.62,33824,492007,1
Life,52754,4,0,96418,8.7,25291,484801,0
Health,436675,3,1,15064,1.26,97963,488314,0
Vehicle,439826,1,0,8937,3.69,75650,101572,0
Life,393642,5,1,54913,6.28,48569,252436,0
Financial,432274,1,1,58117,0.85,54812,139403,0
Financial,382913,3,1,29201,7.71,75378,124000,0
Life,99327,3,1,92215,1.06,84151,182966,0
Financial,288479,4,0,3565,6.21,99061,479549,0
Vehicle,136237,0,1,17851,9.95,27847,104283,0
Vehicle,384962,1,0,45336,4.63,62644,484655,0
Financial,164490,5,0,34707,5.41,30867,255521,1
Life,446423,0,0,55636,4.66,44696,67066,0
Financial,159849,1,1,49014,0.45,44615,439785,1
Health,255028,3,0,11403,8.39,27837,347559,1
Health,485670,3,1,95338,6.2,33882,487548,0
Health,34431,1,0,21378,8.49,41454,127943,0
Health,467567,0,0,49554,2.26,47960,458314,1
Financial,259415,1,1,98189,5.94,86885,421386,0
Health,218394,3,1,46593,9.37,96577,233782,0
Life,266657,5,0,93605,6.45,82354,100579,0
Financial,291838,0,0,9799,9.12,69476,341150,0
Vehicle,318518,3,1,33582,7.21,43657,255207,0
Vehicle,168337,3,0,26671,1.51,79496,342035,0
Health,320889,3,1,75163,4.02,33418,90751,0
Health,234073,2,0,93931,9.57,23281,339713,1
Financial,57313,3,0,56109,4.88,36079,263016,1
Financial,489873,0,0,4539,2.4,39818,167991,0
Financial,80430,2,0,42455,9.76,88007,119022,0
Health,170183,4,1,93735,3.94,47482,362778,0
Financial,388063,3,0,53285,4.98,43600,280476,1
Life,386273,1,0,56087,2.92,29121,361680,0
Financial,443993,3,0,69761,0.95,82311,239356,0
Financial,308238,0,0,31224,4.53,43313,146174,0
Life,369021,2,0,75574,6.6,37737,209957,0
Life,400574,1,0,50648,5.58,82027,334794,0
Vehicle,480593,1,0,62234,9.05,51506,233099,1
Health,247532,0,1,82885,8.02,61669,54352,0
Life,288996,2,0,74313,6.51,46247,60337,0
Health,87393,1,1,26001,0.77,76233,227489,0
Vehicle,152083,0,1,52490,5.98,92707,373114,1
Financial,48087,0,1,82400,5.67,85119,202020,0
Financial,192578,2,0,47058,2.3,40809,58368,0
Life,346463,0,0,40641,9.37,87479,394651,0
Life,395094,4,0,70129,6.15,46078,90225,0
Financial,229479,5,1,25265,6.98,46855,94619,0
Health,299665,5,0,39724,1.31,46468,81992,1
Health,137359,0,0,96759,2.14,27985,259346,1
Health,25071,0,1,96102,7.53,24141,351762,0
Vehicle,20310,3,0,59784,4.22,63032,64238,1
Health,455772,1,0,57958,8.82,91591,342259,1
Health,323629,5,1,85532,0.37,46605,249794,0
Financial,11887,3,1,1034,6.13,35343,119631,0
Health,68391,2,1,70767,5.59,76406,434006,0
Financial,499646,0,0,14199,8.77,42786,478712,1
Health,377654,4,1,77266,2.42,32504,497723,0
Vehicle,72529,5,0,2235,1.68,81158,131972,1
Life,153679,0,0,79075,7.33,80415,320930,0
Life,55534,3,1,46072,5.25,86898,138460,0
Vehicle,424058,1,1,37905,7.77,25973,241551,0
Vehicle,215107,3,0,12279,6.47,52344,144976,0
Financial,485722,3,0,50725,6.63,36314,451324,1
Vehicle,68736,1,1,29600,5.66,56888,71525,0
Financial,151104,2,0,90807,1.36,55123,50962,0
Life,391631,4,0,91221,3.91,75557,330302,0
Life,253018,4,1,42038,6.62,28226,435306,0
Financial,390969,2,1,36993,2.47,98753,253372,0
Health,276347,2,0,48329,0.65,55458,400825,1
Vehicle,271853,0,1,79376,1.17,54542,465303,1
Health,243692,5,0,4549,5.1,89467,108354,1
Vehicle,365138,0,0,88506,6.84,72553,209944,1
Financial,438615,1,0,86243,0.4,69731,236639,0
Vehicle,362053,0,1,77473,4.38,59810,214615,1
Financial,354267,2,0,38035,6.36,60731,218121,0
Health,64374,4,0,67370,6.17,22185,406641,0
Vehicle,387142,1,1,5299,6.91,96379,205982,0
Vehicle,151560,1,0,36162,8.12,42618,378206,0
Financial,348926,0,0,51276,8.12,81463,481110,1
Vehicle,73009,5,0,34047,7.12,76966,87413,1
Financial,165263,1,0,65045,0.31,80787,213511,0
Financial,375768,2,0,61717,2.65,54231,390600,1
Life,340585,3,1,73862,6.25,69990,406736,0
Financial,41518,5,1,43211,9.54,33585,464700,1
Financial,96386,0,0,29858,9.29,29742,220284,1
Financial,412462,3,0,95793,9.15,30473,343309,1
Vehicle,108926,1,1,58053,5.21,77444,176395,1
Life,249604,0,1,8037,8.04,34516,209498,0
Health,8304,5,1,61948,1.18,49527,422300,0
Financial,328180,0,0,62751,0.67,47999,341506,1
Financial,336358,1,1,70856,3.85,39868,101126,0
Life,153337,5,0,83215,5.18,98230,141294,0
Financial,377096,0,0,814,0.97,88236,411972,0
Life,311099,2,1,70262,6.77,45133,259333,0
Life,160570,5,0,53120,7.63,28459,197508,0
Vehicle,46283,3,0,90609,4.67,93089,290667,1
Vehicle,220414,3,1,94131,2.67,78014,66105,1
